method,implementation_id,images,rgb_psnr,rgb_ssim,lpips,boundary_lpips,fid_forward,fid_reverse,fid_mean,identical_outputs,latency_ms,peak_allocated_mib,core_gmac
PUT,put,600,23.779131147721614,0.8141391714043453,0.15185448506148533,0.0823931406174476,48.11029721471232,48.11029721471232,48.11029721471232,600,184.0719149374248,656.7679296875,2204.67113754624
ToMe-SD (half budget),sdpa_tomesd_half_alllayers_race_tail_put,600,23.665972586661077,0.8118779437503055,0.15475160225604973,0.08413930894030879,49.46318507659788,49.45987329845724,49.46152918752756,598,200.78714186248058,556.50421875,2049.97567709184
SiTo (half budget),sdpa_sito_half_alllayers_race_tail_put,600,23.76829129463348,0.8134395020367936,0.15315149687929078,0.08296837155940011,48.272759917552094,48.272759917552094,48.272759917552094,600,205.64192906022072,556.50421875,2049.97567709184
ToMA-tile once r256 (cached),toma_sdpa_race_once_r256_put,600,23.48812570998232,0.8081048107099488,0.16012045425091248,0.08804057665091629,52.08152513815804,52.08152513815804,52.08152513815804,600,149.23004957963713,557.8511588541667,1578.34410983424
Ours,sdpa_lean_nullmask_align_race_cache_tail_dirichlet,600,23.846510224362863,0.8143010619475459,0.15236233652181302,0.08248635223368182,47.81874752191419,47.93899326441624,47.878870393165215,597,148.0929027866417,560.6765071614583,1821.0398633984003
