method,implementation_id,images,rgb_psnr,rgb_ssim,lpips,boundary_lpips,fid_forward,fid_reverse,fid_mean,identical_outputs,latency_ms,peak_allocated_mib,core_gmac
PUT,put,1500,25.06558779027339,0.8363047268543311,0.14834631775738671,0.08463685210219894,21.98161471772397,21.98161471772397,21.98161471772397,1500,184.00423346102858,656.9486796875,2202.332527853568
ToMe-SD (half budget),sdpa_tomesd_half_alllayers_race_tail_put,1500,24.939061185972708,0.8340117441366635,0.1505569835671534,0.08621110928834727,22.377333286223973,22.376765853649545,22.37704956993676,1497,200.13171808080128,556.4968854166667,2048.4974035599357
SiTo (half budget),sdpa_sito_half_alllayers_race_tail_put,1500,25.039472868949474,0.8353712326053184,0.14938455920200794,0.08524437290274849,22.24611453464837,22.24611453464837,22.24611453464837,1500,204.91160819012052,556.4968854166667,2048.4974035599357
ToMA-tile once r256 (cached),toma_sdpa_race_once_r256_put,1500,24.78496410287591,0.8298146975150157,0.15668640763685107,0.09040583316609263,24.13941149892412,24.13941149892412,24.13941149892412,1500,148.88051521933326,557.8664921875,1576.669877895168
Ours,sdpa_lean_nullmask_align_race_cache_tail_dirichlet,1500,25.12255457905688,0.836262198238961,0.14876637551374733,0.08470976386560748,22.10266624034648,22.103016003624248,22.102841121985364,1499,148.40491919297105,560.5504049479167,1821.5320104468478
